Raw Input, Filtered Output
0.252056, 0.100823
0.134022, 0.129226
0.266341, 0.197154
0.286638, 0.246568
0.336285, 0.299779
0.137725, 0.246638
0.194675, 0.228425
0.340203, 0.269989
0.208666, 0.255049
0.307092, 0.279831
0.299654, 0.297476
0.360590, 0.333427
0.296817, 0.327977
0.356808, 0.349206
0.503812, 0.418972
0.508304, 0.473538
0.439403, 0.479537
0.479062, 0.493328
0.321472, 0.436209
0.476131, 0.452062
0.313907, 0.402573
0.396783, 0.404212
0.379907, 0.397466
0.594728, 0.486417
0.415128, 0.475825
0.502967, 0.502501
0.436085, 0.486818
0.444157, 0.480331
0.725457, 0.581700
0.505416, 0.577392
0.607870, 0.606084
0.719664, 0.666063
0.665546, 0.690506
0.584268, 0.663362
0.700307, 0.690872
0.679785, 0.701397
0.683902, 0.709262
0.840855, 0.776714
0.649838, 0.751966
0.806413, 0.788067
0.745809, 0.788496
0.831394, 0.824610
0.732976, 0.804904
0.892702, 0.858154
0.722418, 0.823803
0.755186, 0.812207
0.903629, 0.858410
0.948720, 0.918491
0.705474, 0.859171
0.980711, 0.921793
0.864905, 0.921324
0.743943, 0.871174
0.786633, 0.844162
0.938599, 0.895744
1.017181, 0.963418
0.865074, 0.954764
0.789765, 0.912056
0.786437, 0.873167
0.927466, 0.902237
0.818613, 0.885203
0.880501, 0.901410
1.109340, 1.003677
1.097743, 1.076234
1.091083, 1.116605
0.924328, 1.071564
1.014568, 1.066584
0.973304, 1.042553
1.096706, 1.080574
1.030067, 1.083373
1.084083, 1.110053
1.050488, 1.109770
0.909812, 1.053730
1.036118, 1.057400
1.190954, 1.128432
1.196998, 1.186814
1.140165, 1.202459
1.015065, 1.158376
1.157004, 1.174602
1.132874, 1.177130
1.052300, 1.150698
1.157415, 1.171685
1.005585, 1.131056
1.092325, 1.131962
1.228580, 1.188603
1.217344, 1.232406
1.071471, 1.199019
1.044607, 1.160227
1.247235, 1.209734
1.087395, 1.186064
1.191110, 1.210144
1.274629, 1.261618
1.166616, 1.258358
1.189306, 1.254114
1.251564, 1.277759
1.127430, 1.244695
1.274108, 1.275446
1.117558, 1.239363
1.243320, 1.262738
1.204772, 1.262199
1.273168, 1.294824
1.144747, 1.261014
1.064624, 1.206551
1.284582, 1.249725
1.274928, 1.286404
1.042325, 1.220025
1.261236, 1.253867
1.187886, 1.253712
1.123547, 1.226011
1.177994, 1.224079
1.074342, 1.189695
1.223489, 1.219046
1.077347, 1.186831
1.116397, 1.180795
1.047055, 1.145277
1.032177, 1.119176
1.055240, 1.106667
1.135516, 1.137739
1.089508, 1.143077
1.011176, 1.115559
1.227834, 1.178702
0.982008, 1.129115
0.983908, 1.089325
1.089514, 1.100722
1.163587, 1.148663
1.225202, 1.204551
1.204381, 1.240177
1.123088, 1.226424
1.026360, 1.169046
1.129758, 1.166127
1.008627, 1.120178
0.979255, 1.079032
0.953444, 1.041173
1.051653, 1.059896
0.941955, 1.031324
0.906459, 0.999808
1.072285, 1.042080
0.881970, 1.002544
1.073848, 1.046331
0.876311, 1.001625
1.041671, 1.036143
0.831376, 0.971797
1.084716, 1.032957
0.805914, 0.962038
0.936899, 0.968698
0.823376, 0.921644
0.832425, 0.902190
0.989450, 0.944168
0.959427, 0.976273
0.925938, 0.980505
1.008348, 1.013572
0.898944, 0.992685
0.923833, 0.981451
0.712591, 0.889107
0.713483, 0.824249
0.817375, 0.820844
0.672918, 0.774527
0.658396, 0.735686
0.686639, 0.724170
0.751333, 0.746365
0.846323, 0.800743
0.759781, 0.809660
0.801679, 0.827336
0.577665, 0.745725
0.596365, 0.690476
0.835825, 0.746929
0.583797, 0.701390
0.776028, 0.741235
0.533099, 0.676208
0.781093, 0.727744
0.484147, 0.641399
0.715153, 0.679635
0.461638, 0.600795
0.427028, 0.539802
0.688435, 0.591532
0.575315, 0.603984
0.436795, 0.550784
0.417064, 0.503122
0.470982, 0.492824
0.612646, 0.542211
0.569826, 0.569467
0.416745, 0.528126
0.459786, 0.507717
0.452820, 0.490028
0.399646, 0.457827
0.454906, 0.459236
0.263337, 0.390007
0.377385, 0.383542
0.429975, 0.403346
0.278670, 0.365017
0.469598, 0.408340
0.329526, 0.390290
0.404185, 0.403817
0.349676, 0.387924
0.298407, 0.361535
0.104735, 0.258246
0.302800, 0.267399
0.312762, 0.284216
0.324719, 0.309670
0.293392, 0.312842
0.265018, 0.305385
0.293830, 0.303826
0.207436, 0.269702
0.239599, 0.258008
0.247972, 0.255190
0.137273, 0.212656
0.070718, 0.153395
-0.044918, 0.067480
0.139269, 0.082502
0.141351, 0.103273
-0.117803, 0.022182
0.038477, 0.020001
-0.097516, -0.029925
0.001462, -0.025687
-0.134046, -0.074725
-0.007957, -0.050932
-0.138385, -0.089280
-0.150057, -0.116461
-0.194445, -0.157970
-0.256743, -0.205278
-0.104119, -0.179484
-0.241920, -0.206300
-0.128578, -0.180227
-0.185532, -0.184419
-0.062035, -0.135587
-0.284112, -0.194316
-0.218852, -0.210163
-0.181367, -0.210505
-0.377530, -0.280706
-0.284334, -0.299357
-0.262177, -0.294757
-0.170695, -0.250620
-0.332655, -0.284016
-0.380848, -0.326709
-0.241153, -0.307425
-0.378688, -0.341791
-0.521529, -0.425166
-0.432344, -0.448292
-0.369479, -0.431727
-0.312110, -0.393244
-0.504838, -0.438775
-0.385143, -0.426496
-0.455535, -0.448409
-0.468327, -0.467109
-0.533756, -0.508864
-0.423798, -0.488122
-0.594681, -0.541373
-0.474765, -0.529862
-0.660753, -0.594735
-0.560352, -0.597978
-0.487118, -0.572314
-0.504926, -0.549990
-0.526834, -0.548708
-0.624834, -0.585698
-0.684245, -0.641363
-0.567379, -0.635122
-0.572259, -0.624791
-0.551295, -0.605338
-0.681918, -0.643558
-0.568024, -0.627639
-0.739021, -0.686141
-0.532743, -0.644165
-0.612723, -0.643614
-0.631141, -0.645125
-0.758628, -0.705563
-0.684596, -0.715564
-0.826347, -0.781393
-0.782593, -0.805280
-0.605416, -0.748605
-0.670469, -0.723196
-0.855644, -0.784058
-0.857624, -0.833508
-0.789547, -0.841553
-0.731820, -0.820205
-0.733440, -0.799376
-0.717788, -0.775347
-0.837246, -0.809582
-0.697046, -0.783485
-0.848930, -0.824586
-0.841988, -0.850498
-0.889160, -0.889614
-0.655748, -0.817190
-0.954720, -0.883090
-0.712076, -0.833411
-0.865114, -0.860645
-0.912123, -0.895058
-0.841421, -0.902172
-0.688326, -0.832296
-0.703544, -0.790667
-0.752826, -0.779607
-0.775387, -0.787615
-0.951345, -0.868490
-0.784288, -0.864656
-0.876965, -0.891522
-0.761679, -0.858523
-0.712647, -0.814951
-0.722035, -0.781855
-0.739452, -0.774937
-0.937825, -0.850721
-0.761409, -0.841638
-0.835464, -0.860220
-0.910813, -0.898002
-0.728397, -0.854728
-0.726614, -0.812944
-0.736696, -0.791196
-0.848583, -0.824145
-0.824057, -0.840618
-0.946735, -0.905628
-0.911788, -0.935240
-0.732741, -0.880815
-0.842304, -0.874978
-0.848590, -0.877191
-0.730427, -0.834072
-0.833494, -0.843111
-0.891907, -0.879870
-0.921790, -0.918459
-0.767116, -0.881636
-0.750318, -0.845485
-0.922840, -0.884429
-0.779361, -0.861461
-0.808066, -0.854990
-0.699616, -0.807939
-0.728810, -0.787100
-0.887418, -0.833308
-0.868854, -0.869894
-0.780219, -0.858089
-0.887502, -0.888020
-0.876283, -0.904064
-0.803270, -0.883158
-0.807385, -0.866953
-0.618459, -0.782256
-0.618461, -0.718540
-0.697137, -0.708987
-0.625258, -0.685152
-0.623193, -0.669051
-0.711920, -0.697414
-0.752149, -0.736457
-0.726030, -0.752023
-0.638158, -0.725853
-0.644416, -0.705230
-0.740478, -0.727358
-0.763648, -0.756603
-0.777921, -0.784708
-0.757800, -0.795495
-0.586268, -0.730820
-0.661434, -0.707989
-0.673925, -0.699930
-0.650695, -0.691259
